{X 89.8209, Y 38.9001, Z -325.1349, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 42.8201, Z -328.7674, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 47.9832, Z -331.4528, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 50.1874, Z -332.2890, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 52.5253, Z -332.5915, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 81.7452, Z -332.9327, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 84.4761, Z -334.0661, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 85.6825, Z -336.7655, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 85.8059, Z -340.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 83.8172, Z -342.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -127.6323, Z -341.9880, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -129.4027, Z -339.7925, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -128.6393, Z -332.8553, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -126.2900, Z -328.0393, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -121.4283, Z -325.7864, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -103.2423, Z -324.7701, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -85.0292, Z -324.9893, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -80.4806, Z -324.1372, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -76.7894, Z -321.3458, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -74.4777, Z -317.8549, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -73.7804, Z -313.7264, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -73.7794, Z -300.1108, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -73.6407, Z -298.4755, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -73.2364, Z -296.8850, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -72.6153, Z -295.4529, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -71.7790, Z -294.1350, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -70.4871, Z -292.7189, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -68.9487, Z -291.5753, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -65.3966, Z -287.9673, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -64.0418, Z -283.0888, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -63.8904, Z -274.4526, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -62.5679, Z -271.1652, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -59.3988, Z -269.5798, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -58.2109, Z -269.5155, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -57.0220, Z -269.5593, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -54.0525, Z -270.8672, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -52.5112, Z -273.7225, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -50.8759, Z -283.7408, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -47.4584, Z -289.8014, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -40.9322, Z -292.2137, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -12.6970, Z -292.2819, A 0, B 0,  C 0}, grFeedrate 127.32}
